Time [ms],rhoC,ViscosityA,ViscosityB,DensityB,MAF,Power [kW],CurrentA,CurrentB,CurrentC,VoltageA,VoltageB,VoltageC,SmpInjFlow,FlowA,FlowB,DiffFlow,DiffCons,Soot Dilution Eng 1,NO (350
17200,845.320117,3.59539,3.466675,825.278302,-0.56112,0.450114,0.977781,0.341002,0.491443,427.437125,444.189726,427.743086,-0.056245,1604.877368,1581.595198,23.28217,0.661051,1069.126663,200.464978
17402,849.774759,3.491542,3.371412,824.366066,-0.607671,0.534832,0.879567,0.463533,0.805652,427.356469,444.196865,427.687439,-0.060473,1604.880498,1581.629417,23.251081,0.662343,1063.5595,200.464978
17600,847.311845,3.543335,3.473213,825.458761,-0.563181,0.577106,1.132917,0.4888,0.697148,427.391916,444.264764,427.77324,-0.056383,1605.383692,1581.623623,23.760069,0.663663,1064.565181,200.464978
17802,846.40493,3.498938,3.417147,824.73176,-0.643759,0.483851,0.899292,0.526193,0.515398,427.096995,444.042606,427.470991,-0.063866,1605.302558,1581.870095,23.432463,0.664965,1059.651523,200.464978
18000,847.692647,3.499219,3.442314,825.212176,-0.602249,0.438325,0.663918,0.579544,0.510008,427.223471,444.212348,427.677338,-0.059838,1605.140332,1582.103992,23.03634,0.666245,1062.502196,203.18331
18200,847.619889,3.526082,3.432182,825.015745,-0.602826,0.412717,0.681829,0.369191,0.606896,427.215217,444.217632,427.682066,-0.059602,1605.137655,1582.138502,22.999153,0.667523,1063.313805,203.18331
18419,847.514543,3.529868,3.457689,825.203298,-0.541257,0.485834,0.743931,0.481544,0.723704,427.338726,444.310308,427.832128,-0.053427,1605.820247,1581.615322,24.204924,0.668868,1058.729185,
18600,849.709994,3.496655,3.390658,824.777956,-0.537515,0.457297,0.705569,0.368133,0.765658,427.016527,443.964186,427.519582,-0.052874,1605.781641,1581.739583,24.042058,0.670204,1066.306346,203.18331
18800,850.821042,3.466481,3.360255,824.504183,-0.486882,0.45489,0.606716,0.674438,0.535579,427.236802,444.169458,427.793628,-0.047682,1606.098357,1581.752752,24.345606,0.671556,1060.865434,203.18331
19001,846.47113,3.542882,3.48083,825.495997,-0.456346,0.511566,0.701783,0.829837,0.509004,427.192237,444.092006,427.773208,-0.044874,1605.888853,1581.753742,24.135112,0.672897,1064.656928,203.18331
19202,845.556837,3.579852,3.478327,825.536001,-0.356932,0.441428,0.619268,0.570397,0.575781,427.45591,444.281033,428.026144,-0.034854,1605.938962,1582.00942,23.929543,0.674227,1056.728085,200.264242
19400,851.589409,3.507404,3.46664,824.681832,-0.348936,0.367078,0.616584,0.363093,0.493205,427.322328,444.140299,427.923246,-0.034244,1605.704038,1582.27147,23.432568,0.675529,1063.227231,200.264242
19600,851.404132,3.494492,3.443159,824.382408,-0.328038,0.420771,0.63624,0.511557,0.537862,427.080547,443.846511,427.65312,-0.032005,1605.559823,1581.87479,23.685034,0.676845,1059.301195,200.264242
19800,850.746849,3.509478,3.470784,824.72485,-0.387662,0.447862,0.640733,0.649438,0.499004,427.269801,444.098882,427.933023,-0.037905,1605.43912,1582.002375,23.436745,0.678147,1070.696454,200.264242
20001,845.767323,3.579475,3.536943,825.425523,-0.32847,0.601479,1.124987,0.65096,0.634807,427.422215,444.230985,428.117342,-0.031567,1605.526861,1582.2844,23.242461,0.679439,1063.614304,200.264242
20201,850.613015,3.42874,3.39596,824.262109,-0.318007,0.521417,1.12789,0.431111,0.537564,427.121623,443.893186,427.870086,-0.030429,1605.678898,1582.662647,23.016251,0.680717,1063.314996,200.641666
20401,849.033241,3.43399,3.457594,824.820482,-0.330689,0.729537,0.973897,0.843718,1.105523,427.14333,443.892772,427.925121,-0.031879,1605.708769,1583.06919,22.639579,0.681975,1061.287902,200.641666
